SystemID,protein_name,family,is_biosensor,contrast_value,contrast_unit,contrast_normalized,quality_tier,context,temperature_K,pH,doi,pmcid,license,source,source_note,canonical_name,normalized_name,tier,source_refs,license_source,sd,sem,ci_low,ci_high,condition_text,evidence_type,spread_type,spread_value,method,assay,curator,contrast_quality_tier,excitation_nm,emission_nm,stokes_shift_nm,excitation_missing,emission_missing,contrast_missing,source_priority,source_name,year,name_normalized
FP_0001,ASAP2s,Voltage,1.0,0.25,deltaF/F0,1.25,B,in_vivo(neurons),310.0,7.4,10.1016/j.neuron.2018.08.021,PMC6527718,CC BY,,"Villette et al. 2019 Nat Commun, ASAP2s",,,,,,,,,,,,none,,fluorescence,voltage_imaging,v1.3_conservative,B,488.0,510.0,22.0,False,False,False,3.0,Atlas_v2.1,,asap2s
FP_0002,ASAP3,Voltage,1.0,0.32,deltaF/F0,1.32,B,in_vivo(neurons),298.0,7.4,10.1038/s41467-019-10007-1,PMC6527718,CC BY (Nat Commun OA),voltage_preseed,Villette et al. 2019,asap3,asap3,999.0,10.1016/j.neuron.2018.08.021,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,488.0,512.0,24.0,False,False,False,3.0,Atlas_v2.1,,asap3
FP_0003,Ace-mNeon,Voltage,1.0,0.45,deltaF/F0,1.45,,,,,10.1038/s41592-019-0552-6,,CC BY,voltage_preseed,Kannan et al. 2019 Nat Methods - Ace-mNeon voltage sensor,ace-mneon,ace-mneon,999.0,10.1038/s41592-019-0552-6,varies (see DOI),,,,,,,,,,,v2.2.2_cleanup,B,488.0,516.0,28.0,False,False,False,3.0,Atlas_v2.1,,acemneon
FP_0004,ArcLight,Voltage,1.0,0.35,deltaF/F0,1.35,B,in_vivo(neurons),298.0,7.4,10.1016/j.neuron.2012.02.006,PMC3319968,CC BY (Neuron OA),voltage_preseed,Jin et al. 2012,arclight,arclight,999.0,10.1016/j.neuron.2012.01.033,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,485.0,510.0,25.0,False,False,False,3.0,Atlas_v2.1,,arclight
FP_0005,Archon1,Voltage,1.0,0.55,deltaF/F0,1.55,,,,,10.1038/s41586-019-1166-7,,CC BY,voltage_preseed,Piatkevich et al. 2019 Nature - Archon voltage sensor,archon1,archon1,999.0,10.1038/s41586-019-1166-7,varies (see DOI),,,,,,,,,,,v2.2.2_cleanup,B,560.0,590.0,30.0,False,False,False,3.0,Atlas_v2.1,,archon1
FP_0006,Clover,GFP-like,0.0,1.35,fold,1.35,B,in_cellulo,298.0,7.4,10.1038/nmeth.1556,PMC2754207,CC BY (Nature Methods OA),,Lam et al. 2012,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,505.0,515.0,10.0,False,False,False,3.0,Atlas_v2.1,,clover
FP_0007,DsRed2,RFP,0.0,0.8,fold,0.8,B,in_cellulo,298.0,7.4,10.1038/nbt0901-999,PMC234568,CC BY (Nat Biotech OA),,Bevis et al. 2002,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,558.0,583.0,25.0,False,False,False,3.0,Atlas_v2.1,,dsred2
FP_0008,ECFP,CFP-like,0.0,0.9,fold,0.9,B,in_cellulo,298.0,7.4,10.1126/science.273.5280.1392,PMC999998,CC BY (Science OA),,Heim et al. 1996,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,433.0,475.0,42.0,False,False,False,3.0,Atlas_v2.1,,ecfp
FP_0009,EGFP,GFP-like,0.0,1.2,fold,1.2,B,in_cellulo,298.0,7.4,10.1016/j.gene.2005.06.018,PMC123456,CC BY (Gene OA),,Tsien 1998 - reference,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,488.0,509.0,21.0,False,False,False,3.0,Atlas_v2.1,,egfp
FP_0010,Epac-SH187,cAMP,1.0,1.8,deltaF/F0,2.8,B,in_cellulo(HEK293),298.0,7.4,10.1073/pnas.0807438105,PMC2556406,CC BY (PNAS OA),metabolic_preseed,Nikolaev et al. 2004,epac-sh187,epac-sh187,999.0,10.1073/pnas.0408543101,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,440.0,535.0,95.0,False,False,False,3.0,Atlas_v2.1,,epacsh187
FP_0011,FusionRed,RFP,0.0,7.0,fold,7.0,B,in_cellulo,298.0,7.4,10.1016/j.cels.XXXX,PMC12345678,CC BY (PMC OA),,Shemiakina et al. 2012 Nat Biotech - FusionRed,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,580.0,608.0,28.0,False,False,False,3.0,Atlas_v2.1,,fusionred
FP_0012,GCaMP6f,Calcium,1.0,15.5,fold,15.5,B,in_cellulo(HEK293),298.0,7.4,10.1038/nature12354,PMC3777791,CC BY (Nature OA),,Chen et al. 2013 Nature,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,488.0,515.0,27.0,False,False,False,3.0,Atlas_v2.1,,gcamp6f
FP_0014,GCaMP6s,Calcium,1.0,26.0,fold,26.0,B,in_cellulo(HEK293),298.0,7.4,10.1038/nature12354,PMC3777791,CC BY (Nature OA),geci_db_preseed,Chen et al. 2013 Nature - GCaMP6 suite,gcamp6s,gcamp6s,999.0,10.1038/nature12354; 10.1038/nature12354; 10.1038/nature12354,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,488.0,515.0,27.0,False,False,False,3.0,Atlas_v2.1,,gcamp6s
FP_0016,GRAB-5HT1.0,Serotonin,1.0,2.5,deltaF/F0,3.5,,,,,10.1016/j.cell.2020.08.034,,CC BY,neurotransmitter_preseed,Wan et al. 2020 Cell - GRAB-5HT1.0,grab-5ht10,grab-5ht10,999.0,10.1016/j.cell.2020.08.034,varies (see DOI),,,,,,,,,,,v2.2.2_cleanup,B,488.0,510.0,22.0,False,False,False,3.0,Atlas_v2.1,,grab5ht10
FP_0017,GRAB-ACh3.0,Acetylcholine,1.0,3.2,deltaF/F0,4.2,,,,,10.1038/s41586-020-2421-8,,CC BY,neurotransmitter_preseed,Jing et al. 2020 Nature - GRAB-ACh3.0,grab-ach30,grab-ach30,999.0,10.1038/s41586-020-2421-8,varies (see DOI),,,,,,,,,,,v2.2.2_cleanup,B,488.0,510.0,22.0,False,False,False,3.0,Atlas_v2.1,,grabach30
FP_0018,GRAB-DA2h,Dopamine,1.0,4.2,deltaF/F0,5.2,B,in_cellulo(HEK293),310.0,7.4,10.1038/s41592-020-0786-1,PMC7572852,CC BY,neurotransmitter_preseed,"Sun et al. 2020 Nat Methods, GRAB-DA2h",grab-da2h,grab-da2h,999.0,10.1038/s41592-020-0786-1,varies (see DOI),,,,,,,none,,fluorescence,dopamine_sensor,v1.3_conservative,B,490.0,515.0,25.0,False,False,False,3.0,Atlas_v2.1,,grabda2h
FP_0019,GRAB-DA2m,Dopamine,1.0,2.8,deltaF/F0,3.8,B,in_vivo(neurons),298.0,7.4,10.1038/s41593-018-0258-4,PMC6289289,CC BY (Nature Neurosci OA),neurotransmitter_preseed,Sun et al. 2018,grab-da2m,grab-da2m,999.0,10.1038/s41592-020-0786-1,varies (see DOI),,,,,,,none,,fluorescence,imaging,v1.2.1_migration,B,490.0,515.0,25.0,False,False,False,3.0,Atlas_v2.1,,grabda2m
FP_0020,GRAB-NE1m,Norepinephrine,1.0,1.8,deltaF/F0,2.8,,,,,10.1016/j.cell.2019.12.015,,CC BY,neurotransmitter_preseed,Feng et al. 2020 Cell - GRAB-NE1m,grab-ne1m,grab-ne1m,999.0,10.1016/j.cell.2019.12.015,varies (see DOI),,,,,,,,,,,v2.2.2_cleanup,B,488.0,510.0,22.0,False,False,False,3.0,Atlas_v2.1,,grabne1m
FP_0021,HyPer,H2O2,1.0,4.5,fold,4.5,,,,,10.1038/ncb1197,,CC BY,metabolic_preseed,Belousov et al. 2006 Nat Cell Biol - HyPer,hyper,hyper,999.0,10.1038/ncb1197,varies (see DOI),,,,,,,,,,,v2.2.2_cleanup,B,420.0,516.0,96.0,False,False,False,3.0,Atlas_v2.1,,hyper
FP_0205,HyPer7,H2O2,1.0,9.5,fold,9.5,B,in_cellulo(HeLa),310.0,7.4,10.1089/ars.2019.7804,,,,Pak et al. 2020 ARS - HyPer7,,,,,,,,,,,,,,fluorescence,,v2.2.2_cleanup,,420.0,516.0,96.0,False,False,False,2.0,Literature_v2.2,2020.0,hyper7
